1694472706.000000, 1694472706.000000, 1694472706.000000
32.000000, 32.000000, 32.000000
-7,14,59
-6,14,61
-6,13,61
-6,12,60
-6,12,61
-6,12,62
-6,11,61
-6,11,61
-6,11,60
-6,12,62
-6,11,61
-6,11,61
-6,12,62
-7,12,61
-6,12,61
-6,11,61
-6,11,61
-6,11,61
-7,11,62
-6,8,62
-7,13,62
-5,10,62
-8,19,60
-9,22,63
-9,8,71
-12,7,76
-14,4,68
-11,-5,64
-8,-5,64
-7,3,64
-9,-2,61
1,4,67
8,6,68
15,0,75
20,-7,69
21,-10,67
23,-3,60
21,6,52
25,-2,40
27,-8,42
29,-7,38
26,0,47
26,-14,33
27,-13,35
26,1,43
28,-1,53
30,-3,55
32,1,59
33,-1,59
32,1,56
32,4,49
35,0,47
35,12,57
37,4,53
39,-9,39
38,-16,40
39,-27,43
43,-31,37
43,-28,35
44,-30,33
44,-34,34
44,-30,29
45,-28,27
48,-36,29
48,-37,28
48,-34,25
48,-40,24
47,-43,24
48,-39,20
47,-36,22
46,-35,23
46,-35,22
46,-32,23
46,-34,24
47,-32,24
49,-37,23
48,-36,22
48,-39,22
48,-37,21
48,-36,18
46,-43,21
43,-43,23
41,-37,25
37,-31,20
35,-29,19
36,-36,24
37,-36,28
31,-30,25
28,-41,39
30,-26,38
24,-22,37
24,-24,48
25,-12,55
22,-4,53
25,9,54
23,15,56
21,24,62
19,30,58
16,22,59
16,21,61
12,12,65
8,13,64
6,13,60
0,17,64
1,16,60
2,24,56
3,24,57
7,13,61
9,9,63
8,8,65
7,6,66
7,8,67
5,12,64
4,10,67
4,12,67
4,11,65
5,9,60
5,11,57
5,9,60
3,10,61
3,9,63
5,5,60
4,6,62
3,9,61
2,9,64
1,11,64
1,10,62
-1,10,63
-2,10,65
-2,9,63
-2,10,60
-2,10,61
-2,9,62
-2,6,64
-2,6,63
-3,7,62
-2,7,63
-2,6,62
-3,7,63
-3,8,63
-3,8,63
-2,9,63
-1,9,62
-1,10,61
-2,11,61
-2,11,61
-2,11,61
-3,12,61
-3,12,61
-2,12,61
-2,13,61
-2,13,60
-2,14,60
-3,14,60
-4,14,60
-4,14,61
-4,14,59
-5,14,61
-5,14,61
-6,14,62
-5,14,61
-5,14,60
-5,14,60
-7,14,60
-7,14,60
-7,14,60
-7,14,59
-7,14,59
-7,14,60
-7,14,59
-7,13,60
-7,13,61
-7,14,62
-6,15,60
-6,14,62
-5,12,63
-6,10,62
-7,9,61
-7,9,61
-8,11,61
-8,11,59
-8,10,60
-8,9,61
-8,9,60
-8,9,60
-7,8,62
-8,8,62
-8,9,61
-8,9,61
-8,9,61
-8,10,61
-8,9,61
-8,8,61
-8,9,61
-9,8,61
-8,9,61
-8,9,62
-8,9,62
-7,9,62
-7,10,62
-8,9,61
-8,9,61
-8,8,61
-8,7,62
-8,9,63
-9,10,63
-9,11,62
-8,9,63
-9,10,63
-9,11,63
-10,14,59
-10,15,57
-11,16,57
-12,19,57
-12,20,58
-13,20,58
-13,20,60
-13,17,60
-17,18,61
-19,19,60
-18,12,57
-18,13,62
-17,11,63
-17,-5,64
-13,-6,64
-13,-1,60
-15,5,60
-16,0,62
-16,-2,58
-15,-6,47
-9,-16,49
-6,-11,48
-2,-1,48
10,-8,47
16,-6,51
31,-13,56
35,-8,60
37,3,62
36,2,65
32,24,68
29,22,65
19,17,76
16,7,63
14,0,65
8,-2,70
1,8,57
6,6,60
16,9,57
18,3,61
17,6,64
16,11,71
15,14,70
14,7,63
11,6,63
8,9,63
9,10,63
9,6,54
5,8,62
7,5,58
6,12,59
7,8,70
9,7,60
3,15,60
-4,3,58
-4,8,60
-3,2,56
-5,-9,62
-15,-9,64
-12,1,56
-15,6,71
-20,3,62
-8,-15,54
-17,-5,74
-3,-14,50
-14,-9,76
-6,-29,59
-9,-19,53
-8,-38,55
-8,-28,47
-8,-42,43
-2,-29,33
-9,-61,71
0,-41,49
-2,-50,56
-9,-45,36
0,-27,52
7,-44,53
-3,-41,47
5,-58,39
18,-75,33
-4,-38,44
2,-24,62
3,-31,58
4,-31,65
2,-39,51
-4,-35,52
-5,-32,51
-4,-30,38
-15,-34,42
-9,-25,44
27,-13,49
43,-8,48
41,-14,47
18,-8,62
26,-8,58
28,-3,60
27,-6,49
29,3,61
18,16,71
23,5,63
22,1,57
14,3,55
24,2,60
24,-19,63
28,-5,56
19,-7,56
20,-7,60
19,0,53
0,20,50
15,37,71
25,24,34
-34,-34,90
-2,-1,29
-12,-47,50
-22,0,43
-46,-24,37
-40,-23,45
-54,-116,84
-41,-21,31
-38,-12,35
-51,-9,36
-46,-12,32
-49,-3,19
-74,-2,8
-71,-13,-7
-74,-22,-17
-76,-4,-4
-68,-14,-3
-61,-8,13
-57,-20,14
-52,-24,22
-34,27,27
-53,3,10
-36,-59,75
-33,-40,-1
-60,-25,16
-54,-38,6
-63,-43,5
-38,-31,14
-65,-6,18
-67,-34,23
-55,-11,32
-41,-16,34
-54,-21,38
-53,-25,35
-44,-25,39
-53,-22,37
-62,-21,31
-55,-25,27
-45,-4,43
-45,-30,41
-53,-27,30
-64,-13,22
-65,-19,13
-22,-7,62
-60,-13,24
-53,6,44
-42,-10,42
-52,-14,32
-50,-2,40
-36,-10,46
-44,-8,42
-27,-9,52
-30,-5,51
-27,-22,49
-44,5,46
-24,5,56
-30,-4,53
-27,8,55
-27,-4,55
-33,-8,56
-31,-11,58
-24,-5,57
-25,-4,63
-24,-5,62
-24,-11,61
-45,15,23
-45,4,51
-26,-10,57
-19,-5,67
-25,11,54
-22,-25,57
-34,-14,55
-32,-11,52
-31,-21,52
-33,-19,50
-32,-20,49
-23,-21,50
-23,-20,50
-24,-17,50
-20,-16,54
-23,-16,60
-21,-17,60
-16,-10,57
-24,2,54
-18,-12,57
-19,-24,58
-23,-25,55
-23,-16,54
-25,-16,54
-24,-17,56
-28,-17,60
-18,-23,58
-18,-21,54
-24,-16,54
-25,-16,55
-32,-15,53
-30,-16,54
-23,-18,55
-20,-20,55
-21,-20,56
-19,-20,56
-22,-19,55
-16,-22,59
-11,-20,57
-13,-20,58
-8,-21,58
-11,-19,56
-13,-19,59
-11,-21,59
-17,-16,54
-14,-19,59
-2,-13,69
-15,-17,61
-28,-15,46
-53,-21,33
-48,-24,35
-43,-22,40
-41,-19,49
-38,-16,50
-34,-18,52
-32,-17,51
-31,-18,53
-30,-18,51
-32,-19,51
-34,-19,50
-31,-19,52
-28,-19,51
-30,-17,50
-31,-17,50
-32,-18,50
-36,-16,49
-35,-17,51
-34,-17,51
-33,-18,51
-35,-17,51
-33,-17,50
-31,-17,51
-31,-18,51
-31,-18,51
-31,-18,51
-33,-18,50
-33,-18,50
-34,-18,50
-35,-18,50
-34,-17,50
-35,-18,50
-35,-17,50
-34,-18,50
-33,-18,51
-33,-18,50
-33,-17,50
-33,-18,50
-33,-18,51
-34,-18,50
-34,-18,50
-33,-19,49
-34,-18,49
-34,-18,49
-35,-19,49
-33,-18,50
-32,-19,50
-35,-18,50
-34,-17,47
-36,-17,47
-36,-19,50
-35,-17,49
-35,-17,49
-34,-18,50
-34,-18,49
-34,-18,48
-36,-19,50
-37,-17,49
-33,-17,48
-36,-19,50
-34,-19,49
-34,-18,50
-35,-18,49
-34,-19,49
-34,-19,49
-43,-17,49
-47,-15,48
-39,-16,47
-29,-18,50
-21,-22,55
-28,-18,52
-31,-20,51
-27,-21,53
-17,-23,53
-29,-22,54
-24,-23,54
-14,-24,52
